"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"","low","26.1","297.5","1.4","0.0","0.0","0.0","0.3","72.3"
"Dyami Brown","WAShigh","26.6","365.4","2.3","0.0","2.0","0.0","0.0","77.1"
"","high","40.6","526.8","4.0","0.0","6.0","0.0","0.0","93.0"
"","low","11.8","174.0","0.8","0.0","0.0","0.0","0.1","48.8"
"Zay Jones","ARIhigh","30.3","347.3","2.1","0.0","2.3","0.0","0.7","76.8"
"","high","40.2","466.5","3.0","0.0","7.0","0.0","0.4","130.0"
"","low","12.8","125.4","0.6","0.0","0.0","0.0","1.0","46.7"
"Treylon Burks","TENhigh","26.9","357.5","1.8","1.8","18.7","0.1","0.6","74.3"
"","high","40.0","519.0","3.0","3.6","34.0","0.2","0.2","138.2"
"","low","20.2","268.8","1.1","0.0","0.0","0.0","1.0","60.9"
"Cedrick Wilson Jr.","NOhigh","25.6","319.7","2.6","0.3","2.3","0.0","0.1","73.5"
"","high","34.0","434.0","5.0","1.0","6.0","0.0","0.0","90.6"
"","low","18.1","220.7","1.4","0.0","0.0","0.0","0.2","55.9"
"Trey Palmer","TBhigh","26.9","321.9","2.0","4.2","20.2","0.1","0.2","73.2"
"","high","34.6","439.4","2.6","4.6","26.2","0.2","0.0","89.8"
"","low","14.0","172.0","1.0","3.9","10.0","0.0","0.4","65.1"
"Parker Washington","JAChigh","27.0","288.4","2.1","0.0","6.0","0.0","0.0","69.3"
"","high","36.0","386.0","3.0","0.0","12.0","0.0","0.0","120.8"
"","low","18.0","190.8","1.3","0.0","0.0","0.0","0.0","53.2"
"Van Jefferson","PIThigh","24.1","326.8","1.9","0.0","4.0","0.0","0.1","68.3"
"","high","27.6","402.6","2.0","0.0","12.0","0.0","0.0","92.0"
"","low","20.8","270.9","1.7","0.0","0.0","0.0","0.3","61.0"
"Alec Pierce","INDhigh","22.6","341.4","1.9","0.0","1.3","0.0","0.0","68.2"
"","high","29.0","487.0","3.0","0.0","5.0","0.0","0.0","98.3"
"","low","13.5","187.5","1.0","0.0","0.0","0.0","0.1","47.0"
"Cedric Tillman","CLEhigh","24.7","313.3","2.0","0.0","1.7","0.0","0.2","67.6"
"","high","28.6","374.0","2.2","0.0","5.0","0.0","0.0","88.6"
"","low","22.0","271.9","1.7","0.0","0.0","0.0","0.3","61.6"
"Calvin Austin III","PIThigh","24.9","288.8","1.6","4.5","36.2","0.1","0.2","67.5"
"","high","30.0","321.0","2.0","9.0","55.0","0.4","0.0","104.5"
"","low","21.0","268.0","1.1","0.0","0.0","0.0","0.3","61.5"
"Devontez Walker","BALhigh","23.8","291.5","2.2","0.0","3.5","0.0","0.0","66.1"
"","high","32.0","394.0","3.0","0.0","7.0","0.0","0.0","113.9"
"","low","15.6","188.9","1.3","0.0","0.0","0.0","0.1","50.5"
"Nelson Agholor","BALhigh","23.3","291.9","2.1","0.0","2.0","0.0","0.1","65.2"
"","high","25.7","325.3","2.3","0.0","6.0","0.0","0.0","80.7"
"","low","20.0","248.0","2.0","0.0","0.0","0.0","0.3","65.8"
"KaVontae Turpin","DALhigh","18.7","220.2","2.7","8.7","66.9","0.4","0.4","64.9"
"","high","26.0","291.0","6.0","13.0","126.0","1.0","0.0","84.7"
"","low","11.0","124.0","1.0","4.6","26.1","0.0","1.0","57.4"
"Kalif Raymond","DEThigh","23.7","287.0","1.6","2.2","24.6","0.1","0.2","64.3"
"","high","32.5","359.4","2.0","4.5","44.0","0.2","0.0","96.5"
