"Player","Team","REC","YDS","TDS","FL","FPTS"
"Armani Rogers","PHIhigh","6.5","76.5","0.6","0.0","17.6"
"","high","11.0","133.0","1.0","0.0","19.5"
"","low","2.0","19.9","0.2","0.0","9.2"
"Lawrence Cager","NYGhigh","7.6","66.4","0.4","0.0","16.4"
"","high","7.6","66.4","0.4","0.0","16.5"
"","low","7.6","66.4","0.4","0.0","16.5"
"Cole Turner","WAShigh","6.0","68.8","0.6","0.0","16.3"
"","high","10.0","118.0","1.0","0.0","16.0"
"","low","2.0","19.6","0.2","0.0","8.6"
"C.J. Uzomah","PHIhigh","6.1","59.2","0.7","0.0","16.2"
"","high","7.7","74.0","2.0","0.0","21.1"
"","low","3.7","35.4","0.0","0.0","11.2"
"Albert Okwuegbunam Jr.","PHIhigh","6.4","62.5","0.6","0.0","16.2"
"","high","11.0","107.0","1.0","0.0","16.4"
"","low","1.9","18.0","0.2","0.0","9.0"
"Cole Fotheringham","LVhigh","5.9","57.8","0.6","0.0","15.1"
"","high","10.0","99.0","1.0","0.0","15.9"
"","low","1.7","16.7","0.2","0.0","8.2"
"Charlie Woerner","ATLhigh","6.2","60.6","0.5","0.1","15.1"
"","high","8.1","79.0","0.7","0.1","18.0"
"","low","4.2","42.1","0.3","0.1","12.4"
"Hunter Long","LARhigh","5.4","55.3","0.6","0.0","14.5"
"","high","9.0","91.0","1.0","0.0","15.4"
"","low","1.9","19.6","0.2","0.0","8.4"
"Ko Kieft","TBhigh","5.6","56.6","0.5","0.1","13.9"
"","high","7.4","76.0","0.6","0.1","16.9"
"","low","3.8","37.2","0.3","0.1","11.0"
"Charlie Kolar","BALhigh","5.2","57.4","0.4","0.0","13.3"
"","high","9.0","103.0","1.0","0.0","15.3"
"","low","1.7","18.3","0.0","0.0","7.9"
"John Stephens Jr.","DALhigh","4.0","41.0","0.3","0.0","10.1"
"","high","4.0","41.0","0.3","0.0","10.1"
"","low","4.0","41.0","0.3","0.0","10.1"
"Josiah Deguara","JAChigh","4.6","43.8","0.1","0.0","9.7"
"","high","5.0","51.0","0.3","0.0","14.7"
"","low","4.2","36.6","0.0","0.0","9.8"
"Kenny Yeboah","NYJhigh","3.9","37.0","0.3","0.0","9.2"
"","high","3.9","37.0","0.3","0.0","9.2"
"","low","3.9","37.0","0.3","0.0","9.2"
"Grant Calcaterra","PHIhigh","3.7","36.3","0.3","0.0","8.9"
"","high","3.7","36.3","0.3","0.0","8.9"
"","low","3.7","36.3","0.3","0.0","8.9"
"Nick Vannett","TENhigh","3.5","35.7","0.2","0.0","8.1"
"","high","3.5","35.7","0.2","0.0","8.4"
"","low","3.5","35.7","0.2","0.0","8.4"
"Tre' McKitty","BUFhigh","2.1","20.8","0.2","0.0","5.2"
"","high","2.1","20.8","0.2","0.0","5.2"
"","low","2.1","20.8","0.2","0.0","5.2"
"Dalton Keene","HOUhigh","2.0","21.2","0.2","0.0","5.2"
"","high","2.0","21.2","0.2","0.0","5.1"
"","low","2.0","21.2","0.2","0.0","5.1"
