"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" "," ","","",""
"Tank Dell","HOUhigh","WR31","11.1","61.6","0.2","70.0","954.4","7.0","0.6","213.1"
"","high","16.0","92.9","0.6","78.0","1,024.4","10.0","0.0","288.2"
"","low","4.4","25.0","0.0","63.0","901.0","5.8","1.0","202.3"
"Christian Kirk","JAChigh","WR32","1.0","6.4","0.0","80.9","1,008.5","5.4","1.3","212.5"
"","high","2.0","11.9","0.1","87.2","1,066.0","6.0","1.0","298.2"
"","low","0.0","0.0","0.0","75.0","951.3","4.4","2.0","202.9"
"Calvin Ridley","TENhigh","WR33","2.9","14.8","0.0","71.2","974.6","6.9","0.5","210.9"
"","high","8.0","34.0","0.2","75.0","1,024.0","9.0","0.0","278.5"
"","low","0.0","0.0","0.0","61.0","895.0","6.0","1.0","206.6"
"Kenneth Walker III","SEAhigh","RB17","240.9","1,005.6","9.0","29.1","224.2","1.0","0.9","210.2"
"","high","268.9","1,175.2","12.0","30.6","242.0","1.3","0.7","229.0"
"","low","220.0","855.0","7.0","27.8","201.0","0.8","1.0","199.1"
"Mark Andrews","BALhigh","TE3","0.0","0.0","0.0","71.9","869.3","7.9","0.5","205.2"
"","high","0.0","0.0","0.0","83.7","989.0","11.0","0.0","266.3"
"","low","0.0","0.0","0.0","65.0","819.7","7.0","1.0","195.5"
"Terry McLaurin","WAShigh","WR34","0.3","2.2","0.0","76.4","1,009.5","4.6","0.5","204.2"
"","high","1.0","6.0","0.0","80.2","1,025.0","5.0","0.0","279.8"
"","low","0.0","0.0","0.0","74.7","995.0","3.3","1.0","196.2"
"Aaron Jones","MINhigh","RB18","189.1","868.8","5.5","42.8","313.6","1.9","1.0","203.5"
"","high","225.2","1,092.7","6.9","49.0","362.0","2.0","1.0","240.0"
"","low","161.0","723.0","4.4","36.0","263.2","1.9","1.0","175.8"
"Trey McBride","ARIhigh","TE4","0.0","0.0","0.0","86.0","879.8","5.1","0.5","203.4"
"","high","0.0","0.0","0.0","100.5","1,031.7","6.9","0.0","276.0"
"","low","0.0","0.0","0.0","80.0","791.3","3.5","1.0","185.6"
"Keenan Allen","CHIhigh","WR35","1.0","6.3","0.0","79.7","895.1","5.6","1.0","201.7"
"","high","2.1","12.4","0.1","88.0","1,009.5","6.2","0.9","292.1"
"","low","0.0","0.0","0.0","71.0","815.0","4.8","1.0","188.7"
"Diontae Johnson","CARhigh","WR36","1.0","7.2","0.0","72.8","905.8","5.8","0.6","197.5"
"","high","2.1","13.0","0.1","78.0","992.1","8.0","0.0","255.8"
"","low","0.0","0.0","0.0","64.0","792.0","4.0","1.0","190.8"
"Dalton Kincaid","BUFhigh","TE5","0.0","0.0","0.0","82.3","821.8","5.4","0.8","195.2"
"","high","0.0","0.0","0.0","94.9","942.4","7.0","0.5","268.8"
"","low","0.0","0.0","0.0","75.4","734.7","4.0","1.0","179.1"
"Rhamondre Stevenson","NEhigh","RB19","208.9","870.9","5.6","41.1","281.7","0.8","1.0","193.1"
"","high","226.6","973.3","6.0","50.0","335.7","1.1","1.0","227.4"
"","low","188.9","792.2","4.7","32.0","236.0","0.0","1.0","172.1"
"Jayden Reed","GBhigh","WR37","9.1","74.0","1.2","64.1","796.5","5.9","0.6","192.3"
"","high","12.3","105.0","3.0","71.0","886.0","8.0","0.0","265.3"
"","low","5.0","27.9","0.2","58.0","732.0","5.0","1.0","182.1"
"David Montgomery","DEThigh","RB20","205.1","902.4","9.9","22.4","167.6","0.8","0.9","191.9"
"","high","230.0","972.0","11.1","24.0","183.0","1.4","0.7","209.7"
"","low","181.3","795.1","9.0","21.7","155.0","0.0","1.0","178.0"
"Zamir White","LVhigh","RB21","235.2","988.5","5.8","32.9","229.9","0.8","1.3","191.4"
"","high","260.0","1,230.0","6.4","38.0","267.0","1.2","0.9","206.6"
"","low","202.6","854.0","5.0","28.0","203.0","0.0","2.0","180.1"
"James Conner","ARIhigh","RB22","201.6","883.1","6.7","32.6","222.2","1.4","0.9","189.8"
"","high","214.0","962.0","8.0","37.0","249.0","3.0","0.7","224.4"
"","low","176.6","812.9","5.8","27.7","176.9","1.0","1.0","177.2"
"Jaxon Smith-Njigba","SEAhigh","WR38","0.0","2.0","0.0","75.6","828.5","5.3","0.6","189.2"
"","high","0.0","10.0","0.0","83.0","913.0","6.0","0.0","246.4"
"","low","0.0","0.0","0.0","68.0","732.0","4.7","1.0","177.6"
"George Kittle","SFhigh","TE6","0.0","2.5","0.0","65.2","881.4","6.0","0.4","188.5"
"","high","0.0","5.0","0.0","71.0","914.0","7.0","0.0","253.5"
"","low","0.0","0.0","0.0","60.0","845.2","4.7","1.0","177.6"
"Evan Engram","JAChigh","TE7","0.0","0.0","0.0","85.4","786.9","4.4","0.9","188.4"
"","high","0.0","0.0","0.0","92.0","831.0","5.8","0.7","250.9"
"","low","0.0","0.0","0.0","73.0","705.0","3.1","1.0","181.6"
"Najee Harris","PIThigh","RB23","237.1","948.8","6.6","28.7","180.8","1.2","1.0","186.1"
"","high","253.0","1,010.0","8.0","30.0","200.0","1.6","0.9","215.5"
"","low","219.9","894.7","5.9","28.0","166.2","1.0","1.0","176.6"
"Kyle Pitts","ATLhigh","TE8","0.0","0.0","0.0","67.9","871.0","5.2","0.4","185.2"
"","high","0.0","0.0","0.0","82.5","994.1","6.6","0.0","245.8"
"","low","0.0","0.0","0.0","59.9","821.8","4.2","1.0","175.2"
"Courtland Sutton","DENhigh","WR39","0.0","1.2","0.0","65.8","849.9","6.1","1.3","185.0"
"","high","0.0","5.0","0.0","71.2","896.5","9.0","0.8","247.9"
"","low","0.0","0.0","0.0","56.0","766.0","4.5","2.0","177.4"
"Javonte Williams","DENhigh","RB24","204.3","834.4","4.7","41.2","247.0","1.5","0.9","184.7"
"","high","230.5","950.4","5.9","48.9","298.2","2.0","0.8","220.1"
"","low","184.6","730.6","4.0","32.3","186.6","1.0","1.0","162.2"
"DeAndre Hopkins","TENhigh","WR40","0.3","2.8","0.0","64.7","851.1","5.7","0.5","183.5"
"","high","1.0","8.0","0.0","68.0","902.8","9.0","0.0","234.2"
"","low","0.0","0.0","0.0","60.0","767.0","4.5","1.0","176.9"
"Jordan Addison","MINhigh","WR41","0.3","4.0","0.0","64.9","834.1","5.9","0.5","182.8"
