"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Jaylen Wright","MIAhigh","57.8","270.4","2.2","12.8","104.4","0.7","0.8","66.5"
"","high","102.0","479.0","5.0","17.0","180.0","1.0","0.0","93.8"
"","low","20.0","82.5","0.5","8.7","60.5","0.4","2.0","31.8"
"Dameon Pierce","HOUhigh","72.8","306.3","2.2","10.5","76.8","0.2","0.5","61.9"
"","high","90.7","436.0","3.0","13.0","100.0","0.5","0.0","85.8"
"","low","57.6","219.0","1.4","8.8","58.0","0.0","1.0","39.5"
"Audric Estime","DENhigh","68.2","275.6","1.9","12.9","96.9","0.5","1.4","61.7"
"","high","108.0","454.0","3.0","16.7","120.4","1.0","0.3","72.9"
"","low","47.5","205.0","1.2","10.0","86.1","0.0","2.0","52.0"
"D'Onta Foreman","CLEhigh","64.2","280.4","2.0","10.6","78.1","0.3","0.2","59.8"
"","high","78.0","327.8","2.6","15.1","108.5","0.5","0.0","72.6"
"","low","50.5","211.3","1.4","6.7","51.7","0.0","0.4","46.7"
"Justice Hill","BALhigh","57.8","231.2","1.6","13.8","102.4","0.5","0.8","57.8"
"","high","104.0","487.0","3.0","19.0","139.0","1.0","0.0","72.0"
"","low","16.6","69.8","0.5","5.0","35.6","0.0","2.0","28.4"
"Kendre Miller","NOhigh","54.2","221.8","1.7","11.9","100.5","0.5","0.7","55.7"
"","high","93.0","347.0","3.0","17.1","143.0","1.0","0.2","71.1"
"","low","23.7","96.1","0.6","6.5","46.4","0.0","1.0","31.1"
"Emanuel Wilson","GBhigh","51.1","222.5","1.5","11.1","80.3","0.6","0.1","53.9"
"","high","61.4","264.9","2.0","16.0","118.0","1.0","0.0","80.7"
"","low","40.9","164.7","1.0","8.2","57.6","0.4","0.3","41.9"
"Kimani Vidal","LAChigh","47.0","231.9","1.6","10.8","76.5","0.3","0.1","52.6"
"","high","68.4","345.0","3.0","17.2","114.7","0.7","0.0","89.4"
"","low","30.0","112.0","0.8","3.0","25.0","0.0","0.2","21.8"
"Ty Johnson","BUFhigh","39.7","165.3","1.1","13.1","111.2","0.7","0.2","51.0"
"","high","52.6","225.3","1.6","18.9","180.8","1.0","0.0","67.6"
"","low","26.8","110.6","0.7","6.4","51.7","0.4","0.4","35.3"
"Keaton Mitchell","BALhigh","52.5","255.0","1.6","8.6","69.4","0.2","0.7","50.7"
"","high","75.0","454.0","3.0","10.3","78.2","0.5","0.2","62.6"
"","low","41.2","178.0","1.0","7.0","53.4","0.0","1.0","40.4"
"Eric Gray","NYGhigh","39.5","206.5","1.4","10.8","73.4","0.5","0.1","50.4"
"","high","53.0","291.0","2.0","13.4","95.0","1.0","0.0","80.4"
"","low","26.0","104.3","0.7","6.1","36.6","0.2","0.3","29.6"
"Dalvin Cook","DALhigh","49.3","229.5","1.6","8.5","60.8","0.3","0.0","48.8"
"","high","66.5","294.5","2.0","15.4","106.5","0.9","0.0","64.1"
"","low","32.0","116.0","1.0","1.0","8.0","0.0","0.0","18.5"
"Trey Sermon","INDhigh","52.8","254.5","1.4","7.9","54.5","0.2","0.1","47.7"
"","high","64.7","318.0","2.0","12.0","81.5","0.4","0.0","69.2"
"","low","36.7","148.1","0.7","2.0","8.0","0.0","0.3","32.9"
"Chris Rodriguez Jr.","WAShigh","0.0","235.0","2.0","7.0","51.0","0.0","0.0","47.6"
"","high","0.0","235.0","2.0","7.0","51.0","0.0","0.0","54.6"
"","low","0.0","235.0","2.0","7.0","51.0","0.0","0.0","54.6"
"Isaac Guerendo","SFhigh","39.2","226.5","1.9","6.5","52.9","0.1","0.1","46.1"
"","high","45.4","336.0","3.0","12.0","91.0","0.3","0.0","79.2"
"","low","33.0","147.0","1.0","2.0","27.0","0.0","0.2","19.5"
"Emari Demercado","ARIhigh","34.2","149.1","1.1","13.4","88.5","0.4","0.4","45.0"
"","high","49.0","212.0","2.0","22.0","136.0","1.0","0.0","68.0"
"","low","9.9","40.5","0.2","3.9","24.5","0.0","1.0","22.0"
"Cordarrelle Patterson","PIThigh","36.0","155.5","1.1","10.4","79.0","0.3","0.1","42.3"
"","high","38.0","173.7","1.2","17.7","136.3","0.9","0.0","55.2"
"","low","33.0","139.0","1.0","3.0","23.0","0.0","0.2","23.4"
"Will Shipley","PHIhigh","33.9","180.0","1.5","6.3","47.7","0.4","0.1","40.3"
"","high","34.1","286.0","2.0","11.0","84.0","1.0","0.0","72.3"
"","low","33.7","143.7","0.8","2.0","25.0","0.0","0.2","25.3"
"Evan Hull","INDhigh","0.0","134.0","1.0","8.0","59.0","1.0","0.0","39.3"
"","high","0.0","134.0","1.0","8.0","59.0","1.0","0.0","47.3"
"","low","0.0","134.0","1.0","8.0","59.0","1.0","0.0","47.3"
"Cam Akers","HOUhigh","41.3","192.5","1.4","5.7","43.6","0.2","0.1","38.6"
"","high","48.8","248.0","2.0","8.8","71.0","0.4","0.0","52.9"
"","low","33.8","134.9","0.9","2.2","15.9","0.0","0.1","26.5"
"Kyle Juszczyk","SFhigh","5.6","20.2","0.1","14.9","142.5","1.1","0.0","38.5"
"","high","7.0","21.0","0.2","25.0","269.0","2.0","0.0","45.9"
"","low","4.7","19.8","0.0","7.9","70.1","0.5","0.1","27.7"
"Deuce Vaughn","DALhigh","40.0","148.0","1.2","9.1","68.5","0.2","0.4","38.4"
"","high","58.0","244.8","2.0","14.0","99.2","0.6","0.0","56.8"
"","low","4.6","18.3","0.2","4.3","31.0","0.0","1.0","16.2"
"Pierre Strong Jr.","CLEhigh","51.1","226.6","1.2","5.5","42.3","0.1","1.4","37.4"
"","high","129.0","673.0","3.0","8.3","62.0","0.3","0.0","74.5"
"","low","8.3","34.5","0.2","3.0","30.0","0.0","4.0","14.8"
"Dylan Laube","LVhigh","27.0","145.3","1.1","7.7","57.2","0.1","0.0","35.2"
"","high","37.7","256.0","2.0","15.0","110.0","0.3","0.0","71.3"
"","low","15.2","62.3","0.3","2.0","22.0","0.0","0.1","18.7"
"Isaiah Davis","NYJhigh","45.7","168.4","1.3","5.6","41.0","0.1","0.1","34.7"
"","high","65.4","276.2","1.8","8.9","63.1","0.4","0.0","52.3"
"","low","26.0","104.0","1.0","3.0","23.0","0.0","0.3","16.6"
