"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"","high","5.0","4.0","38.0","0.0","0.0","80.0","403.0","6.0","1.0","109.0"
"","low","5.0","4.0","38.0","0.0","0.0","80.0","403.0","6.0","1.0","109.0"
"Aidan O'Connell","LVhigh","202.6","127.9","1,244.2","6.4","4.6","18.1","36.6","0.3","1.0","74.6"
"","high","278.7","177.7","1,926.9","10.0","1.0","26.0","74.4","1.3","0.0","135.1"
"","low","52.0","32.0","346.0","2.0","7.0","3.0","3.0","0.0","1.9","15.0"
"Jacoby Brissett","NEhigh","184.2","118.3","1,120.3","5.8","4.1","16.9","60.5","0.3","1.1","70.0"
"","high","264.0","172.2","1,891.1","7.4","2.0","27.2","111.6","1.1","1.0","109.3"
"","low","141.0","90.0","644.0","3.9","7.0","9.0","26.0","0.0","1.2","36.4"
"Sam Howell","SEAhigh","72.9","46.9","495.5","3.1","2.2","8.0","39.0","0.4","0.5","35.3"
"","high","101.8","65.7","711.9","4.3","1.0","11.0","56.9","1.0","0.0","53.0"
"","low","21.0","14.0","154.0","1.0","3.0","4.0","16.0","0.0","1.0","6.0"
"Drew Lock","NYGhigh","74.1","46.5","504.5","3.3","1.8","7.9","24.9","0.1","0.6","33.8"
"","high","111.3","69.5","780.8","6.0","1.0","10.0","40.4","0.5","0.0","60.4"
"","low","20.0","12.0","124.0","1.0","3.0","4.0","17.0","0.0","1.0","7.0"
"Nick Mullens","MINhigh","82.8","53.6","495.7","2.5","1.9","5.6","18.0","0.1","0.4","29.6"
"","high","151.4","98.8","1,088.7","5.0","1.0","10.7","36.0","0.4","0.0","58.8"
"","low","24.0","16.0","169.0","1.0","4.5","2.0","9.0","0.0","1.1","6.0"
"Jarrett Stidham","DENhigh","64.4","40.2","439.7","2.4","1.8","8.1","25.9","0.3","0.6","28.8"
"","high","105.3","65.7","708.8","3.7","1.0","11.4","44.7","1.0","0.0","42.0"
"","low","39.0","25.0","264.0","2.0","3.1","6.0","19.0","0.0","1.0","14.0"
"Michael Penix Jr.","ATLhigh","42.1","25.8","334.3","2.5","1.3","3.4","21.1","0.4","0.5","25.6"
